1,Berechnung der kritischen Feldstärke beim OMEN 8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Zusatzblatt 2 (Daten der Antenne),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Adresse,Wehntalerstrasse 464 / 8046 Zurich,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,Höhenkote 0 (d.h. wie hoch ist das Fundament über Meer) [m],462.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,Zone Antenne,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,Distanz y zum Koordinaten- Nullpunkt (in m) gem. StDB,0.52,-0.40,-0.29,0.52,-0.40,-0.29,0.52,-0.40,-0.29,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!
113,Höhe z der Antenne über Höhenkote 0 (in m)  gem. StDB,24.80,24.80,24.80,24.80,24.80,24.80,24.80,24.80,24.80,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!
120,ERPn: Sendeleistung [W],300,450,700,875,1'125,1'445,350,500,600,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!
130,Hauptstrahlrichtung,0,0,0,0,0,0,0,0,0,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!
140,Azimut (in Grad von Nord),30,130,240,30,130,240,30,130,240,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!
150,"Mechanischer  Neigungswinkel  [down tilt, negativ ° Horizont] von",0,0,4,0,0,4,0,0,4,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!
151,"Mechanischer  Neigungswinkel  [down tilt, negativ ° Horizont] bis",0,0,4,0,0,4,0,0,4,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!
160,Elektrischer Neigungswinkel (down tilt in Grad negativ) von ,-12,-12,-12,-6,-10,-10,0,0,0,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!
170,Elektrischer Neigungswinkel (down tilt in Grad negativ) bis,-2,-2,-2,-2,-2,-2,0,0,0,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!
175,Gesamter Neigungswinkel (in Grad von der Horizontalen) von,-12,-12,-8,-6,-10,-6,0,0,4,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!
180,Gesamter Neigungswinkel (in Grad von der Horizontalen) bis,-2,-2,2,-2,-2,2,0,0,4,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!
190,Zusatzblatt 4a (Daten eines Omen),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200,Nr. des OMEN im Situationsplan,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
210,Adresse und Beschreibung ,"Wehntalerstr. 464, OK Dach",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
215,Nutzung,Service/Wartung,,Zone Omen:,,,,,,,,,,,,,,,,,,,,,,,,,,,
216,"OMEN Höhe und Distanz x, y, z zum Koordinaten- Nullpunkt (in m) gem. StDB",-1.76,-1.01,21.55,,,,,,,,,,,,,,,,,,,,,,,,,,,
220,Höhe über Boden [m],21.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
225,Höhe über Höhenkote 0 [m],21.55,m,,,,,,,,,,,,,,,,,,,,,,,,,,,,
230,Horizontaler Abstand [m] (zwischen Antenne und OMEN) / (a),2.60,2.30,1.40,2.60,2.30,1.40,2.60,2.30,1.40,,,,,,,,,,,,,,,,,,,,,
240,Höhenunterschied [m] (zwischen Antenne und OMEN),3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.25,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!
250,dn: direkter Abstand (zwischen Antenne und OMEN),4.16,3.98,3.54,4.16,3.98,3.54,4.16,3.98,3.54,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!
260,Azimut des OMEN [in ° von N] (gegenüber der Antenne),234.00,255.00,239.00,234.00,255.00,239.00,234.00,255.00,239.00,,,,,,,,,,,,,,,,,,,,,
261,Kartesisch berechnet: Horizontaler Abstand [m] (zwischen Antenne und OMEN),2.58,2.31,1.42,2.58,2.31,1.42,2.58,2.31,1.42,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!
262,DELTA horizontaler Abstand,-0.02,0.01,0.02,-0.02,0.01,0.02,-0.02,0.01,0.02,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!
263,Kartesisch berechnet: Höhenunterschied [m] (zwischen Antenne und OMEN),3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.25,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!
264,Kartesisch berechnet: dn: direkter Abstand (zwischen Antenne und OMEN),4.15,3.99,3.55,4.15,3.99,3.55,4.15,3.99,3.55,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!
265,DELTA direkter Abstand,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!
270,Elevation des OMEN [in ° von H] (gegenüber der Antenne),-51.00,-55.00,-67.00,-51.00,-55.00,-67.00,-51.00,-55.00,-67.00,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!
271,Leistung nach Entfernungsdämpfung,29.1308651200247,37.2954125869596,52.3361220820357,49.7504234424505,58.9692250252524,75.19456363116,31.4649305271957,39.3128166835016,48.4538337676987,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!
279,Kritische horizontale Senderichtung der Antenne [in ° von N] per StDb,30.00,130.00,240.00,30.00,130.00,240.00,30.00,130.00,240.00,,,,,,,,,,,,,,,,,,,,,
280,Kritische horizontale Senderichtung der Antenne [in ° von N],30.00,130.00,240.00,30.00,130.00,240.00,30.00,130.00,240.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
289,Kritische vertikale Senderichtung [in ° von H] per StDb,-12,-12,-8,-6,-10,-6,0,0,4,,,,,,,,,,,,,,,,,,,,,
290,Kritische vertikale Senderichtung [in ° von H],-12.00,-12.00,-8.00,-6.00,-10.00,-6.00,0.00,0.00,4.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
300,Winkel des OMEN horizontal [in°] (zur kritischen Senderichtung) / (d),204.00,125.00,-1.00,204.00,125.00,-1.00,204.00,125.00,-1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
